"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_symbol"
"ABCB1",95.0607490794185,0.175625430394571,0.31959366072584,0.549527265327173,0.582643658622705,0.760325373639899,"ABCB1"
"ABCB10",135.168682520838,-0.181937067329109,0.106443413949546,-1.70923743027771,0.0874069780858303,0.221751954730661,"ABCB10"
"ABCB11",13.2684716013033,0.0778262505195364,0.458696509987586,0.169668285729147,0.865271016718217,0.933869426424062,"ABCB11"
"ABCB4",24.4458373067241,0.529135991468657,0.29471451784851,1.79541881862991,0.072586996383809,0.193774313834849,"ABCB4"
"ABCB5",23.6345678458063,0.46218582507991,0.450445612262295,1.02606355239793,0.304861628870352,0.516786848231925,"ABCB5"
"ABCB6",93.7620755808743,-0.02078817836775,0.134247706434511,-0.154849411731969,0.876940036052492,0.939341111117836,"ABCB6"
"ABCB7",345.317954374196,-0.407893875216966,0.071132837860171,-5.73425561930738,9.79415274675866e-09,2.63959992873966e-07,"ABCB7"
"ABCB8",110.984318405507,-0.289374582172783,0.216999392558646,-1.33352715305217,0.182358870893259,0.36821503520091,"ABCB8"
"ABCB9",14.3815347204094,0.241383201753173,0.301060162874066,0.801777290787369,0.422681797159157,0.631318558549486,"ABCB9"
"ABCC1",408.385589237086,0.207743066922265,0.0993137482304931,2.09178558481272,0.0364577004386,0.116920913105348,"ABCC1"
"ABCC10",180.066557519282,-0.08186108693103,0.119513118246598,-0.684954824474765,0.493372428469041,0.692211138452883,"ABCC10"
"ABCC11",8.81016677868071,0.577255481451264,0.462919279984276,1.24698949992074,0.21240134764905,0.408258069588601,"ABCC11"
"ABCC12",6.93655498478256,0.274274528774579,0.474801545238707,0.577661407223701,0.563492739548474,0.746157686077524,"ABCC12"
"ABCC13",26.9551370554645,-0.819574312843768,0.358303351464264,-2.28737551433568,0.0221739142283533,0.0803510863168883,"ABCC13"
"ABCC2",20.5699230647424,-0.461261499732692,0.248666918870642,-1.85493712564413,0.0636052056160844,0.175873441560665,"ABCC2"
"ABCC3",645.502949230382,1.11523225066254,0.211578251570217,5.27101553390249,1.35670985568363e-07,2.81051613563348e-06,"ABCC3"
"ABCC4",291.35026893149,-0.399949588257837,0.108184365595983,-3.69692594724323,0.000218225965327977,0.00188742277615742,"ABCC4"
"ABCC5",391.172033252809,0.181031703167041,0.1692053647908,1.06989340078468,0.284667293873361,0.494810838643082,"ABCC5"
"ABCC5-AS1",4.67473701672498,0.206679532930036,0.424638091962298,0.486719248324961,0.626457302737744,0.793087660878742,"ABCC5-AS1"
"ABCC6",215.615351459937,-0.543021976013944,0.129021956729157,-4.20875632163799,2.56780126574207e-05,0.00029552076789279,"ABCC6"
"ABCC6P1",31.8963661976663,-0.141979876845461,0.222057276893149,-0.639384031146974,0.522573134764692,0.714860382228052,"ABCC6P1"
"ABCC6P2",21.3170971263085,0.0622134916567774,0.209064441933139,0.297580454531211,0.766023394120181,0.881117730844043,"ABCC6P2"
"ABCC8",78.4303683344111,-1.62934671704503,0.426016833235385,-3.82460642381418,0.000130981158522835,0.00122491994124674,"ABCC8"
"ABCC9",405.235075066645,0.0749818547843661,0.143282546556837,0.523314643592145,0.60075531222319,0.773789963891965,"ABCC9"
"ABCD1",10.2286357281482,-0.191455216012135,0.351820218506746,-0.544184802183175,0.586314309005816,0.763192363913419,"ABCD1"
"ABCD2",25.460013415778,1.40312365485962,0.27424533415718,5.11630821057264,3.11573784835467e-07,5.91712276017565e-06,"ABCD2"
"ABCD3",518.763655804251,-0.176629716631773,0.08499105376058,-2.07821539816813,0.0376895244821805,0.119947960160695,"ABCD3"
"ABCD4",627.449369114466,0.0377826906536667,0.131103371672294,0.288190076057757,0.773201244853652,0.884595035756503,"ABCD4"
"ABCE1",527.011699576477,0.00851099676510915,0.12988701739105,0.0655261544691967,0.947755082825213,0.974297200271788,"ABCE1"
"ABCF2",574.375102652496,-0.0401456121920603,0.147639836385411,-0.271915853979009,0.785686720672858,0.890746886909298,"ABCF2"
"ABCF3",625.052608858305,-0.12333399484859,0.102778764797469,-1.19999491229172,0.230141316373448,0.430479733243027,"ABCF3"
"ABCG1",251.832915488382,-0.312972390809492,0.240106495438427,-1.30347323689854,0.192413247550512,0.381494064291,"ABCG1"
"ABCG2",123.323373707877,0.110231512071844,0.322540634522448,0.341760076943644,0.732531456376545,0.86008530493004,"ABCG2"
"ABCG4",4.34115733570744,0.308328079919753,0.478683958825653,0.644116173594305,0.519500103213636,0.712275239356412,"ABCG4"
"ABCG5",13.5978900399365,-0.35778876882272,0.366573573609557,-0.976035357103528,0.329046943288982,0.542105396709949,"ABCG5"
"ABCG8",3.22945400163436,0.429781594401096,0.599872876386051,0.71645445446763,0.473710781045957,0.67599389234455,"ABCG8"
"ABHD1",8.37108668885748,-0.224194135401362,0.306083388579569,-0.732460969024723,0.46388725735531,0.66774396224778,"ABHD1"
"ABHD10",283.157326042109,0.127106226788533,0.126354150792608,1.00595212734371,0.314438599176033,0.527237700158483,"ABHD10"
"ABHD11",125.607874815344,-0.33651904002377,0.14801975249762,-2.2734738732196,0.0229976388320791,0.0824495924556298,"ABHD11"
"ABHD12",92.1682949922028,-0.366773656753944,0.160100365718339,-2.29089830687333,0.0219692959409529,0.0797302365190415,"ABHD12"
"ABHD12B",17.5958083612771,-0.317971758299996,0.217029349350824,-1.46510948519686,0.142891049227934,0.31263724370228,"ABHD12B"
"ABHD13",225.740169924496,-0.0810297088482354,0.117964601446067,-0.686898509001295,0.49214668658512,0.691463236058211,"ABHD13"
"ABHD14A",60.8795751521186,0.320495935266515,0.149707032400568,2.14082084273082,0.0322884884873127,0.106803386223699,"ABHD14A"
"ABHD14B",505.293248226777,-0.55742985333939,0.101513303212269,-5.49120002699332,3.99211908764239e-08,9.34029132569028e-07,"ABHD14B"
"ABHD15",83.991581319033,0.15577265984732,0.148106379503886,1.05176198600704,0.292908763853567,0.50365378077549,"ABHD15"
"ABHD16B",4.04930871311446,0.171819554903961,0.421430710034717,0.407705349450701,0.683490009617726,0.830450546211075,"ABHD16B"
"ABHD2",923.969639955621,-0.0856546098936479,0.0903570479578742,-0.947957152535365,0.343151267578098,0.556573640610946,"ABHD2"
"ABHD3",153.450034079963,-0.164265141035961,0.119746733234222,-1.3717713761315,0.170134620643028,0.351381720280415,"ABHD3"
"ABHD4",268.993937759551,0.195294134198301,0.111045888318146,1.75867956172122,0.0786319507665434,0.205558723136222,"ABHD4"
"ABHD5",440.242944364349,-0.659504401709403,0.129469754811698,-5.09388777841273,3.50794457940094e-07,6.59658822674003e-06,"ABHD5"
"ABHD6",70.6802911782248,-0.481464078943396,0.175783683116645,-2.73895773718605,0.00616342958769527,0.0291830090831274,"ABHD6"
"ABHD8",10.9888895107796,-0.210746669628091,0.287227558258752,-0.733727191449496,0.463115022724738,0.66706501476405,"ABHD8"
"ABI1",974.36766538791,0.0334259597395079,0.112091804334236,0.298201638719619,0.7655492711435,0.880730975843644,"ABI1"
"ABI2",660.353372796754,-0.034800044244651,0.0935188223855213,-0.372118075879865,0.709804938595104,0.847065464963215,"ABI2"
"ABI3",106.825362237051,0.144205330551584,0.250980684782293,0.574567444011364,0.565583875273021,0.747996288079344,"ABI3"
"ABI3BP",1395.49316613489,0.278483690604455,0.232627151535826,1.19712462094764,0.231257984738787,0.431949069457514,"ABI3BP"
"ABL1",237.091193490845,0.0591841583178387,0.119302975606276,0.496082834623996,0.619835969446065,0.78820670542021,"ABL1"
"ABL2",455.823738521506,0.324368568465541,0.146747351196006,2.21038789335483,0.0270782533016994,0.0933776590067191,"ABL2"
"ABLIM1",1755.39448039968,-0.366238930976186,0.155607157955631,-2.35361236454568,0.0185919878037322,0.0700958171736414,"ABLIM1"
"ABLIM2",27.2336911408265,0.351116522998725,0.220841662485076,1.58990164739614,0.111856976276799,0.263188037747547,"ABLIM2"
"ABLIM3",386.032009430462,0.29835869636661,0.141020971382192,2.11570444765981,0.0343699520741364,0.111705595440299,"ABLIM3"
"ABO",52.7074106313285,-0.816434211272742,0.308585452502595,-2.64573136760514,0.00815145212441101,0.0366060758396915,"ABO"
"ABP1",9.94895622814648,1.07182337777692,0.395997799967643,2.7066397284644,0.00679679730152356,0.0315580881734418,"ABP1"
