Query Name	Rank	TF	Score	Library	Overlapping_Genes
"gene_set_query"	"498"	"FOXC1"	"527.7"	"ARCHS4 Coexpression,855;Enrichr Queries,589;GTEx Coexpression,139"	"TFAP2A,FGF14,ITGA10,ITGA11,FHL2,PRELP"
"gene_set_query"	"499"	"FOXB2"	"528.0"	"ARCHS4 Coexpression,756;Enrichr Queries,249;GTEx Coexpression,579"	"TFAP2A,TUBB3,ZBTB16,KCNN2,BMP7,ADRA1A"
"gene_set_query"	"500"	"LTF"	"529.5"	"ARCHS4 Coexpression,450;GTEx Coexpression,609"	"KEL,KCNA3,CHRDL2"
"gene_set_query"	"501"	"FOSL2"	"529.8"	"ARCHS4 Coexpression,1012;ENCODE ChIP-seq,10;Enrichr Queries,849;ReMap ChIP-seq,36;GTEx Coexpression,742"	"IL11,FHL2,PDCD1LG2,CYP24A1,TUBB3,PRR15L,CHI3L2,PKP1,MAPT,CCDC33,TNS4,TRIM55,CAP2"
"gene_set_query"	"502"	"TEF"	"531.0"	"ARCHS4 Coexpression,526;Enrichr Queries,746;GTEx Coexpression,321"	"GPM6A,ZBTB16,TAGLN3,MAPT"
"gene_set_query"	"503"	"MNX1"	"531.0"	"Literature ChIP-seq,51;ARCHS4 Coexpression,1024;Enrichr Queries,263;GTEx Coexpression,786"	"TFAP2A,IL11,ZBTB16,USP44,CACNA2D2,PRELP,BMP7,CDH6,CLDN5,GJB2,DES,PRR15L,MB,PKP1,CPXM1,HES2,PLXNA4"
"gene_set_query"	"504"	"TEAD3"	"531.0"	"ARCHS4 Coexpression,348;Enrichr Queries,548;GTEx Coexpression,697"	"DES,FHL2,FBLN1,CPZ,FBLN2"
"gene_set_query"	"505"	"IRF1"	"531.8"	"Literature ChIP-seq,68;ARCHS4 Coexpression,1077;ENCODE ChIP-seq,107;Enrichr Queries,659;ReMap ChIP-seq,183;GTEx Coexpression,1097"	"TFAP2A,CXCL9,KEL,HS3ST3A1,TENM4,MB,TUBB3,PLLP,LGI4,ITGB7,SLC39A8"
"gene_set_query"	"506"	"ESR2"	"532.2"	"Literature ChIP-seq,85;ARCHS4 Coexpression,511;Enrichr Queries,447;ReMap ChIP-seq,166;GTEx Coexpression,1452"	"TFAP2A,ALDH3B2,MB,ZBTB16,FHL2,MAPT,BMP7,CAP2"
"gene_set_query"	"507"	"TEAD2"	"534.0"	"ARCHS4 Coexpression,836;Enrichr Queries,320;ReMap ChIP-seq,170;GTEx Coexpression,810"	"CETP,DES,USP44,CDCA7,FHL2,FBLN1,PDCD1LG2,FBLN2"
"gene_set_query"	"508"	"NFATC4"	"535.0"	"ARCHS4 Coexpression,25;Enrichr Queries,149;GTEx Coexpression,1431"	"MFAP4,LUM,CTSK,ITGA11,FHL2,FBLN1,CPZ,FBLN2,PAMR1"
"gene_set_query"	"509"	"HEY1"	"535.0"	"ARCHS4 Coexpression,540;Enrichr Queries,707;GTEx Coexpression,358"	"LUM,DOK5,FAM107A,TAGLN3"
"gene_set_query"	"510"	"PLAGL1"	"535.7"	"ARCHS4 Coexpression,431;Enrichr Queries,556;GTEx Coexpression,620"	"MFAP4,PCDH9,LUM,FHL2,CPXM1"
"gene_set_query"	"511"	"SIX4"	"537.0"	"ARCHS4 Coexpression,165;Enrichr Queries,751;GTEx Coexpression,695"	"MB,USP44,FHL2,CYP4B1,CCDC33,CAP2"
"gene_set_query"	"512"	"ZNF704"	"537.3"	"ARCHS4 Coexpression,175;Enrichr Queries,689;GTEx Coexpression,748"	"TENM4,ZBTB16,ITGA11,RORB,MAPT,PLXNA4"
"gene_set_query"	"513"	"USF2"	"538.2"	"ARCHS4 Coexpression,653;ENCODE ChIP-seq,79;Enrichr Queries,1216;ReMap ChIP-seq,185;GTEx Coexpression,558"	"PRR15L,TUBB3,PEBP4,IL1R2,FAM107A,SLC39A8,TNS4,HES2,ADRA1A"
"gene_set_query"	"514"	"FOXD4L4"	"539.0"	"ARCHS4 Coexpression,801;GTEx Coexpression,277"	"BTNL9,TFAP2A,SHANK3,PLXNA4"
"gene_set_query"	"515"	"SATB1"	"539.5"	"ARCHS4 Coexpression,1042;Enrichr Queries,481;ReMap ChIP-seq,95;GTEx Coexpression,540"	"CCL7,DOK5,PRR15L,LAMP3,ZBTB16,FHL2,CCR7,CXCL5,TRIM55,CAP2"
"gene_set_query"	"516"	"SREBF1"	"539.5"	"Literature ChIP-seq,71;ARCHS4 Coexpression,1215;ENCODE ChIP-seq,62;Enrichr Queries,1270;ReMap ChIP-seq,245;GTEx Coexpression,374"	"IL11,NGFR,GSTA4,GALNT15,SLCO4C1,CACNA2D2,KCNN2,PGC,FMO5"
"gene_set_query"	"517"	"ZNF786"	"539.7"	"ARCHS4 Coexpression,919;Enrichr Queries,501;GTEx Coexpression,199"	"COL17A1,TFAP2A,ALDH3B2,ACOXL,CDCA7,FHL2,PKP1"
