"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_symbol"
"TCAP",3.84307464169937,-1.65426983050212,0.385545153188135,-4.2907291579798,1.78087407715249e-05,0.000213950676672701,"TCAP"
"CARD11",22.339864556856,1.07719706498574,0.251134611987427,4.28932139803842,1.7921986715226e-05,0.000215041396015755,"CARD11"
"WARS",5311.46740611787,1.27424977408202,0.297310296957814,4.2859254695199,1.81979995653265e-05,0.000217807662505176,"WARS"
"ADAM12",106.485575097482,1.24949947914412,0.29175081061552,4.28276266485085,1.84587030229395e-05,0.000220652318980391,"ADAM12"
"UNC5CL",16.3469453028839,1.1962919456679,0.279488124162237,4.28029616375928,1.86644767432686e-05,0.000222834083086924,"UNC5CL"
"CA8",42.04352842868,-1.02619218312161,0.239863621028025,-4.2782318499299,1.88383749213103e-05,0.000224770199403579,"CA8"
"CACNA1F",22.9388251287611,-1.17105641255606,0.273749369533283,-4.2778414962292,1.88714314273397e-05,0.000225024498450954,"CACNA1F"
"MED24",385.393026976585,-1.23236204325677,0.288288862031281,-4.27474733006872,1.91354178313875e-05,0.000227888674011838,"MED24"
"SLFN13",191.300977821243,1.08526134521837,0.25389921920537,4.27437842705826,1.91671253517475e-05,0.000228124506826202,"SLFN13"
"RASL10B",9.27521879563571,-1.63313938533787,0.382810226279356,-4.26618536607766,1.98843587058522e-05,0.000235636414051664,"RASL10B"
"LRRC55",7.66083031784623,2.31089860516259,0.541926028594002,4.26423253955544,2.00590457498794e-05,0.000237533213988844,"LRRC55"
"C1QTNF6",69.4465090902391,1.06694631495724,0.250860001569333,4.25315438205622,2.10780153624509e-05,0.000248093937576956,"C1QTNF6"
"ELANE",8.15715076106714,-1.86014476756291,0.437753923192803,-4.24929319649668,2.14446083598643e-05,0.000252099132142159,"ELANE"
"CLIC1",48.2030415946354,4.13891744371078,0.974176186662452,4.24863335850037,2.15078595607457e-05,0.000252677885372804,"CLIC1"
"AKR1C1",257.308825204639,-1.0757747600607,0.253231064764518,-4.24819427687941,2.15500477117891e-05,0.000252873248164912,"AKR1C1"
"XPNPEP2",39.0712642347222,1.25895567486516,0.296432284377722,4.24702618848683,2.16626646789826e-05,0.000253883780170438,"XPNPEP2"
"CXCL11",36.0092255454909,2.23072618925221,0.525296084154961,4.24660730688819,2.17031859118824e-05,0.000254203208095043,"CXCL11"
"LRP2",342.011206934875,-1.45456105567175,0.342773098856912,-4.24350995023371,2.20050611111991e-05,0.000257424286332599,"LRP2"
"PHGDH",192.364771354107,-1.14096013515707,0.269061076432452,-4.24052468043816,2.22997912608092e-05,0.000260395246885817,"PHGDH"
"LGALS2",71.6925897342857,1.24709522578615,0.294103283027727,4.24033085570344,2.23190565395408e-05,0.000260461486851815,"LGALS2"
"MMP10",41.3075589627396,2.95604486217193,0.698149304141722,4.23411560340374,2.29452895133683e-05,0.000266974760800211,"MMP10"
"TREML3P",4.87504650157753,-1.47900128798674,0.349414272750818,-4.23280158633208,2.30798109407349e-05,0.000268358821144637,"TREML3P"
"HSPB6",155.589377398648,1.2196865754084,0.288276412391231,4.23096210089197,2.32693879835912e-05,0.000270071479431602,"HSPB6"
"TSPAN11",75.5748970767228,1.04016174672046,0.246046172780844,4.22750630487125,2.36295555783368e-05,0.000273754258761844,"TSPAN11"
"FNDC5",14.4188217136245,1.17935183682545,0.279517863809247,4.21923601144249,2.45131562289918e-05,0.000283305850217093,"FNDC5"
"PCDH9",431.884035981202,-1.20606831253645,0.286062659911738,-4.21609836428345,2.48565373756281e-05,0.000286928294693847,"PCDH9"
"SLA2",94.5055072809993,1.01965617841366,0.241924399428524,4.2147719734855,2.5003068106113e-05,0.000288099092633396,"SLA2"
"HOXD1",14.4966063684621,-1.10009427984384,0.261046403893258,-4.21417136354679,2.5069689393659e-05,0.000288693141923855,"HOXD1"
"MS4A2",290.63107836008,1.14765572166422,0.272779300493313,4.20726836526348,2.58476122672878e-05,0.000296937617665329,"MS4A2"
"MIR1247",4.11288411525465,-1.5273519058395,0.363243380114917,-4.20476184688157,2.61357206475344e-05,0.000299887831765302,"MIR1247"
"FAM83D",47.3249757422283,1.26803756087608,0.301790385541654,4.20171622962808,2.64899058799896e-05,0.000303225553448244,"FAM83D"
"PLA2G1B",143.958299074479,-1.46853740248527,0.350253507878763,-4.19278428181678,2.75551444667015e-05,0.000313918952598653,"PLA2G1B"
"CA4",236.131610527645,-2.00553041454577,0.479965394801785,-4.17848960834773,2.93451401973636e-05,0.000332925740948419,"CA4"
"FAM167A",44.6130828378942,-1.67807186609049,0.402136912954304,-4.17288692490951,3.00764229013707e-05,0.00034021512139083,"FAM167A"
"CD247",36.742513047499,1.28248649354302,0.307683141638584,4.16820527349359,3.07007395616452e-05,0.000345848072592736,"CD247"
"SUSD2",969.230424922417,-1.1792407122493,0.28304702559013,-4.16623601604955,3.09670105220253e-05,0.00034843796572111,"SUSD2"
"CYP4B1",6472.76772535665,-1.16394819030138,0.279435138536656,-4.16536086476718,3.10860461556749e-05,0.000349572075372677,"CYP4B1"
"MIR29B2",11.8575340962965,-1.38415112715472,0.332324326142435,-4.16506111129966,3.11269176582651e-05,0.000349826390714179,"MIR29B2"
"CHRDL2",23.4991503297057,1.59103470500238,0.382036792140545,4.16461120429747,3.11883585039497e-05,0.000350311445282933,"CHRDL2"
"LIPC",9.8278957073928,1.37909767007931,0.331534303621126,4.15974351678348,3.18605169610611e-05,0.000356815444773731,"LIPC"
"EOMES",28.7419369889242,1.18805963918927,0.285760470600492,4.15753668340729,3.21697630602049e-05,0.000360068340981102,"EOMES"
"CILP",77.4200621295382,1.18267085504911,0.284885680197327,4.15138751175535,3.30465679948227e-05,0.000369450604385527,"CILP"
"CLNK",26.9186667960773,1.03354774169744,0.24921519600208,4.14720995460009,3.36551414814646e-05,0.000375596867249752,"CLNK"
"CST1",14.7832178506324,4.9033957906001,1.18449718274945,4.13964326974452,3.47846306766805e-05,0.000387074966914374,"CST1"
"MAP3K15",15.8991298357331,-1.30462795371056,0.315472103288713,-4.13547803469833,3.54216496814959e-05,0.00039325008759955,"MAP3K15"
"FAM19A4",2.46753879972935,-2.21379994655934,0.535654627493272,-4.132886813504,3.58235165325644e-05,0.000397481310826288,"FAM19A4"
"COLEC11",37.6409639717163,1.04810345557149,0.254045538503064,4.12565188803285,3.69686100477374e-05,0.000409238882573509,"COLEC11"
"GALNT16",16.9634939142117,1.10683133172771,0.268536866654201,4.12171090516594,3.76068954887966e-05,0.000415584389478847,"GALNT16"
"TNFRSF9",60.9951071326146,1.37022772038535,0.332984675686312,4.11498732655244,3.87200688432961e-05,0.00042665552569019,"TNFRSF9"
"DACT1",35.0922078114185,1.04726797360147,0.255216261518301,4.10345315526208,4.07028897552697e-05,0.000447731787307967,"DACT1"
"RSPO1",22.3232501889839,-1.09962166991081,0.26809327710839,-4.1016383617342,4.10235083473401e-05,0.000450741093435626,"RSPO1"
"PRELP",1635.04443237976,-1.14711900018924,0.279727970814092,-4.10083767043667,4.11657266462036e-05,0.000452044500856478,"PRELP"
"TM4SF18",150.352852761667,1.03315983284967,0.252209426630556,4.09643623020909,4.19558992003208e-05,0.000459667776144395,"TM4SF18"
